36,1,43,4,3,0,0,97,4,0,1,1,1,2,2,2,2,2,2,2,7,1,095,0300,8,1,1,2,2,118.30,970000,74231,61340,1950
36,1,27,4,3,0,0,97,4,0,9,1,1,2,2,2,2,2,2,2,7,1,067,0552,8,1,2,2,2,118.30,393700,74231,90480,6750
36,1,46,4,1,0,0,97,7,7,1,1,1,2,2,2,2,2,2,2,7,1,090,0219,8,1,1,2,2,118.30,152200,74231,96600,6970
36,1,27,4,1,0,0,97,5,0,1,5,1,2,2,2,2,2,2,2,7,1,065,0481,8,1,2,2,2,118.30,216100,74231,40870,5950
36,2,24,4,1,0,0,97,4,0,1,5,4,2,2,2,2,2,2,2,2,7,000,0000,97,7,7,7,7,118.30,566900,74231,66460,4610
36,2,24,4,1,0,0,97,4,0,1,5,4,2,2,2,2,2,2,2,2,7,000,0000,97,7,7,7,7,118.30,776700,74231,46870,3900
36,2,34,4,1,0,0,97,5,10,1,1,1,2,2,2,2,2,2,2,7,1,093,0593,8,1,1,2,2,118.30,222400,74231,52180,5070
36,2,26,4,1,0,0,97,7,0,1,1,1,2,2,2,2,2,2,2,7,1,084,0090,8,1,1,2,1,118.30,450000,74231,63170,4240
36,1,26,1,2,0,0,97,1,0,9,1,1,2,2,2,2,2,2,2,7,1,067,0531,8,2,2,2,1,118.30,791900,74231,89250,4400
36,2,37,1,2,0,0,97,6,6,1,1,1,2,2,2,2,2,2,2,7,1,065,0411,8,1,1,2,2,118.30,781900,74231,44710,4620
36,1,35,1,2,1,0,10,5,4,1,1,1,2,2,2,2,2,2,2,7,1,090,0992,8,1,1,2,2,118.30,962900,74231,54910,8700
36,2,32,1,2,1,0,10,3,10,1,6,4,2,2,2,2,2,2,2,5,7,000,0000,97,7,7,7,7,118.30,592400,74231,50030,7250
36,2,42,2,1,0,0,97,4,0,9,1,1,2,2,2,2,2,2,2,7,1,084,0195,8,1,2,2,2,118.30,232000,74231,34680,9890
